City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
254,afaahiti,-17.75,-149.2833,297.08,88,71,8.82,PF,1700668130
255,mendi,-6.1761,143.6513,286.19,98,82,1.45,PG,1700668047
256,mount sterling,38.0565,-83.9433,278.87,94,100,2.06,US,1700668133
257,kaffrine,14.1059,-15.5508,310.63,7,100,5.88,SN,1700668134
258,suzemka,52.3178,34.0689,266.22,55,21,3.01,RU,1700668134
259,richards bay,-28.783,32.0377,298.47,77,7,2.59,ZA,1700668135
260,tralee,52.2704,-9.7026,284.29,93,100,6.17,IE,1700668136
261,nova sintra,14.8667,-24.7167,297.67,69,100,5.56,CV,1700668137
262,nuku'alofa,-21.1333,-175.2,295.34,94,20,2.06,TO,1700668138
263,palmer,42.1584,-72.3287,281.11,86,100,5.66,US,1700668138
264,chos malal,-37.3781,-70.2709,293.76,22,1,5.32,AR,1700668139
265,primero de mayo,-32.2552,-58.4228,296.79,86,100,4.69,AR,1700668140
266,sandnessjoen,66.0217,12.6316,275.21,93,75,11.83,NO,1700668141
267,elassona,39.8947,22.1886,285.78,78,100,0.43,GR,1700668141
268,burang,30.25,81.1667,271.77,27,0,1.09,CN,1700668142
269,baoshan,46.5586,131.4244,267.29,96,100,4.47,CN,1700668143
270,marka,1.7159,44.7717,300.26,82,95,7.6,SO,1700668144
271,alice springs,-23.7,133.8833,290.9,82,95,2.57,AU,1700668145
272,sao felix do xingu,-6.6447,-51.995,303.61,64,99,0.64,BR,1700668146
273,polyarnyy,69.1989,33.4478,260.4,94,13,6.24,RU,1700668148
274,ulanhot,46.0833,122.0833,262.53,91,100,9.2,CN,1700668148
275,nejo,9.5,35.5,289.67,91,25,1.35,ET,1700668149
276,belomorsk,64.5232,34.7668,259.64,98,64,2.94,RU,1700668150
277,atafu village,-8.5421,-172.5159,301.92,75,100,3.76,TK,1700668151
278,arno,60.1167,18.6333,274.14,96,100,11.85,SE,1700668151
